City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,xinglongshan,43.9561,125.4661,29.95,86,75,4.47,CN,1741798330
122,kingston,17.997,-76.7936,90.16,70,20,9.22,JM,1741798320
123,tommot,58.9564,126.2925,-24.63,100,95,1.03,RU,1741798332
124,oban,56.4127,-5.4706,42.35,59,90,9.15,GB,1741798333
125,choma,-16.8065,26.9531,64.78,96,96,4.9,ZM,1741798334
126,nieuw amsterdam,5.8833,-55.0833,77.02,88,40,0.0,SR,1741798335
127,karratha,-20.7377,116.8463,84.33,68,100,7.83,AU,1741798337
128,tateyama,34.9833,139.8667,58.93,94,75,3.44,JP,1741798338
129,las lomitas,-24.7096,-60.593,87.6,53,75,2.28,AR,1741798143
130,sarmiento,-45.5882,-69.07,68.02,26,43,9.78,AR,1741798137
131,sona,45.4388,10.8255,52.72,94,75,5.75,IT,1741798341
132,nar'yan-mar,67.6713,53.087,8.13,95,23,8.01,RU,1741798342
133,meulaboh,4.1363,96.1285,79.25,89,97,6.11,ID,1741798343
134,semey,50.4111,80.2275,-2.33,100,81,1.48,KZ,1741798344
135,aykhal,66.0,111.5,-18.44,100,84,4.12,RU,1741798346
136,howrah,22.5892,88.3103,80.6,83,1,12.66,IN,1741798347
137,tsiombe,-25.3,45.4833,78.1,80,96,13.96,MG,1741798349
138,palmer,42.1584,-72.3287,49.32,26,86,1.99,US,1741798350
139,avarua,-21.2078,-159.775,78.85,94,75,8.05,CK,1741798351
140,kone,-21.0595,164.8658,72.07,83,98,4.9,NC,1741798352
141,vilyuysk,63.7553,121.6247,-27.72,100,80,0.98,RU,1741798353
142,tshikapa,-6.4167,20.8,74.35,80,80,2.42,CD,1741798354
143,bairnsdale,-37.8333,147.6167,63.09,96,40,4.09,AU,1741798355
144,labasa,-16.4167,179.3833,75.58,92,79,2.3,FJ,1741798356
145,labytnangi,66.6572,66.4183,19.65,85,100,11.25,RU,1741798357
146,tromso,69.6496,18.957,24.82,68,0,5.75,NO,1741798358
147,ceerigaabo,10.6162,47.368,66.49,25,68,8.16,SO,1741798361
148,sao joao da barra,-21.6403,-41.0511,93.29,81,15,16.31,BR,1741798362
149,paragominas,-2.9667,-47.4833,85.33,69,87,1.05,BR,1741798363
150,kapuskasing,49.4169,-82.4331,14.09,62,100,4.61,CA,1741798364
151,boa vista,2.8197,-60.6733,76.98,83,75,6.91,BR,1741798365
152,anadyr,64.75,177.4833,-5.01,83,75,13.42,RU,1741798366
153,el calafate,-50.3408,-72.2768,54.88,42,100,4.92,AR,1741798367
154,georgetown,5.4112,100.3354,80.53,83,40,2.3,MY,1741798104
155,longyearbyen,78.2186,15.6401,8.44,66,75,27.63,SJ,1741798371
156,progreso,21.2833,-89.6667,83.77,48,4,3.94,MX,1741798373
157,abilene,32.4487,-99.7331,79.2,18,0,14.97,US,1741798374
158,alo,6.5486,4.2686,83.34,83,100,10.87,NG,1741798375
159,cabo san lucas,22.8909,-109.9124,76.75,33,0,1.99,MX,1741797856
160,rhinelander,45.6366,-89.4121,39.74,45,20,6.91,US,1741798370
161,port alfred,-33.5906,26.891,73.18,88,18,5.01,ZA,1741798379
162,new norfolk,-42.7826,147.0587,58.71,98,16,2.91,AU,1741798380
163,polyarnyy,69.1989,33.4478,14.27,88,72,6.17,RU,1741798381
164,hastings,50.8552,0.5729,42.78,63,81,11.54,GB,1741798329
165,cotonou,6.3654,2.4183,89.58,70,20,17.27,BJ,1741798383
166,vokhtoga,58.8147,41.0461,33.17,98,100,4.76,RU,1741798385
167,xinmin,41.9908,122.8253,33.73,34,0,7.23,CN,1741798386
168,biala podlaska,52.0324,23.1165,54.32,58,27,4.81,PL,1741798387
169,macapa,0.0389,-51.0664,82.38,74,75,8.05,BR,1741798186
170,ambon,-3.6954,128.1814,85.05,100,99,3.62,ID,1741798389
171,okhotsk,59.3833,143.3,-7.22,97,26,6.02,RU,1741798390
172,coruripe,-10.1256,-36.1756,83.75,62,53,13.98,BR,1741798391
173,kailua-kona,19.6406,-155.9956,69.76,82,0,3.44,US,1741798392
174,ivdel',60.6911,60.4206,32.0,92,100,5.84,RU,1741798393
175,zeya,53.75,127.2667,11.64,89,100,5.28,RU,1741798394
176,kerikeri,-35.2268,173.9474,54.46,88,86,3.71,NZ,1741798395
177,askoy,60.4092,5.226,41.29,60,0,6.91,NO,1741798396
178,mapastepec,15.4333,-92.9,93.16,37,22,8.95,MX,1741798398
179,changleng,28.7,115.8167,59.49,92,98,4.27,CN,1741798399
180,rio grande,-32.035,-52.0986,73.27,71,49,15.66,BR,1741798400
181,qaqortoq,60.7167,-46.0333,37.65,96,100,7.4,GL,1741798401
182,berdyansk,46.7503,36.7944,46.72,82,100,13.91,UA,1741798402
183,san antonio de pale,-1.4014,5.6325,82.31,74,79,8.81,GQ,1741798404
184,rieti,42.4072,12.8592,53.55,87,40,25.32,IT,1741798406
185,newman,37.3138,-121.0208,53.04,84,100,7.0,US,1741798355
186,tarawa,1.419,172.984,80.69,89,20,12.66,KI,1741798408
187,kununurra,-15.7667,128.7333,82.38,61,75,13.8,AU,1741798409
188,codrington,-38.2667,141.9667,64.81,71,73,6.29,AU,1741798410
189,altlussheim,49.3017,8.4992,45.97,68,100,6.91,DE,1741798411
190,west mackay,-21.1481,149.1605,73.47,80,27,12.53,AU,1741798412
191,mersa matruh,31.3525,27.2453,68.2,45,0,11.5,EG,1741798413
192,nguigmi,14.2495,13.1092,88.88,18,50,6.46,NE,1741798414
193,berriane,32.8265,3.7669,71.33,18,31,14.85,DZ,1741798415
194,richards bay,-28.783,32.0377,73.63,80,100,4.65,ZA,1741798416
195,sodra sandby,56.5667,16.6167,35.89,96,100,2.39,SE,1741798417
196,hasaki,35.7333,140.8333,60.06,96,100,15.59,JP,1741798418
197,altay,47.8667,88.1167,3.54,77,56,7.34,CN,1741798419
198,terekli-mekteb,44.1671,45.8698,54.12,62,8,8.05,RU,1741798420
199,constantia,44.1833,28.65,59.7,77,100,14.09,RO,1741798421
200,hirara,24.8,125.2833,73.26,94,75,13.8,JP,1741798422
201,i-n-salah,27.1935,2.4607,83.93,16,0,11.21,DZ,1741798423
202,papao,-17.75,-149.55,78.48,81,69,18.03,PF,1741798424
203,qamdo,31.1667,97.2333,30.27,64,100,3.02,CN,1741798425
204,palikir - national government center,6.9248,158.1611,81.34,83,100,5.99,FM,1741798426
205,muisne,0.6,-80.0333,83.89,69,87,7.47,EC,1741798427
206,turochak,52.2576,87.1224,6.94,99,98,0.98,RU,1741798428
207,klyuchi,52.2667,79.1667,-4.0,100,77,5.48,RU,1741798429
208,port elizabeth,-33.918,25.5701,75.49,88,75,11.5,ZA,1741798430
209,naranjal,-2.6667,-79.6167,82.27,86,98,3.2,EC,1741798431
210,urangan,-25.3,152.9,74.86,77,99,12.12,AU,1741798433
211,chiang klang,19.2938,100.8617,80.87,32,25,2.33,TH,1741798434
212,mabaruma,8.2,-59.7833,88.2,50,46,7.74,GY,1741798435
213,forster,-32.1667,152.5167,66.7,91,17,4.94,AU,1741798436
214,freetown,8.484,-13.2299,80.29,64,74,8.63,SL,1741798286
215,sao jose da coroa grande,-8.8978,-35.1478,83.55,68,28,12.59,BR,1741798438
216,tofol,5.3248,163.0078,82.33,76,100,13.49,FM,1741798439
217,bredasdorp,-34.5322,20.0403,69.71,75,0,12.21,ZA,1741798440
218,san patricio,28.017,-97.5169,75.15,53,3,15.37,US,1741798441
219,metlili chaamba,32.2667,3.6333,76.14,14,8,18.41,DZ,1741798442
220,aasiaat,68.7098,-52.8699,29.39,77,99,18.57,GL,1741798443
221,santa ana,33.7456,-117.8678,59.23,87,100,6.91,US,1741798097
222,tralee,52.2704,-9.7026,48.45,53,40,9.22,IE,1741798445
223,usogorsk,63.4106,48.6872,11.35,97,100,2.89,RU,1741798447
224,mezhdurechenskiy,59.6,65.9333,30.47,93,100,14.65,RU,1741798448
225,dublin,37.7021,-121.9358,57.38,69,100,13.8,US,1741798234
226,shiqian,27.5225,108.2281,54.27,97,100,2.71,CN,1741798450
227,vila franca do campo,37.7167,-25.4333,55.81,79,72,19.82,PT,1741798451
228,lenger,42.183,69.8839,46.18,58,3,5.73,KZ,1741798452
229,ulanhot,46.0833,122.0833,22.33,49,1,9.69,CN,1741798454
230,pacific grove,36.6177,-121.9166,57.38,87,100,18.01,US,1741798456
231,camarinas,43.1311,-9.1817,53.92,80,100,2.24,ES,1741798457
232,patong,7.8961,98.2966,80.74,76,100,6.06,TH,1741798458
233,remire-montjoly,4.9167,-52.2667,84.24,79,75,13.8,GF,1741798459
234,keetmanshoop,-26.5833,18.1333,92.32,24,20,4.61,NA,1741798460
235,mar del plata,-38.0023,-57.5575,60.84,67,75,13.8,AR,1741798259
236,port macquarie,-31.4333,152.9167,65.07,99,26,1.99,AU,1741798462
237,geraldton,-28.7667,114.6,64.81,88,76,8.05,AU,1741798463
238,mentor-on-the-lake,41.705,-81.3604,52.68,54,0,10.0,US,1741798464
239,broome,42.2506,-75.833,43.66,34,96,5.01,US,1741798466
240,whitehorse,60.7161,-135.0538,14.77,85,75,4.61,CA,1741798467
241,itoman,26.1247,127.6694,72.09,94,100,14.97,JP,1741798241
242,prince rupert,54.3161,-130.3201,37.09,81,99,12.66,CA,1741798469
243,athens,37.9795,23.7162,67.24,68,20,8.05,GR,1741798337
244,ajaigarh,24.9,80.2667,82.18,16,80,4.68,IN,1741798471
245,tolanaro,-25.0319,46.9987,78.87,89,40,13.8,MG,1741798472
246,teknaf,20.8624,92.3058,74.19,83,0,7.07,BD,1741798473
247,merizo village,13.2658,144.6691,79.99,86,46,16.8,GU,1741798474
248,vanino,49.0869,140.2543,27.25,98,100,4.85,RU,1741798475
249,acarau,-2.8856,-40.12,81.97,80,97,12.06,BR,1741798476
250,pervomayskoye,43.919,46.7102,48.54,69,46,7.52,RU,1741798478
251,arraial do cabo,-22.9661,-42.0278,93.16,74,20,17.27,BR,1741798271
252,yasothon,15.75,104.1333,81.23,63,83,6.91,TH,1741798481
253,fort mcmurray,56.7268,-111.381,-0.81,71,100,3.44,CA,1741797931
254,obihiro,42.9172,143.2044,33.04,87,100,0.72,JP,1741798483
255,kolonia,50.9333,6.95,45.97,61,40,3.44,DE,1741798484
256,taoudenni,22.6783,-3.9836,88.48,9,0,12.17,ML,1741798485
257,severo-yeniseyskiy,60.3725,93.0408,-5.13,100,80,3.47,RU,1741798486
258,tanjung pandan,-2.75,107.65,78.4,90,100,3.47,ID,1741798487
259,stanley,54.868,-1.6985,40.51,86,75,14.97,GB,1741798393
